;Zuerich;Genf;Basel;Lausanne;Bern;Winterthur;Luzern;St.Gallen;Lugano;Biel;Thun;Koeniz;Chaux-de-Fonds;Schaffhausen;Freiburg;Chur;Neuenburg;Vernier;Uster;Sion;Olten;Arthgoldau
Zuerich;0;0;0.26746;0;0.15726;0.59443;0.23048;0;0;0;0;0;0;0.11686;0;0.042956;0;0;0.28318;0;0.029868;0.036549
Genf;0;0;0;0.15259;0;0;0;0;0;0;0;0;0;0;0;0;0;0.52027;0;0;0;0
Basel;0.26746;0;0;0;0;0;0;0;0;0.050957;0;0;0;0;0;0;0;0;0;0;0.019064;0
Lausanne;0;0.15259;0;0;0;0;0;0;0;0;0;0;0;0;0.028114;0;0;0;0;0.019587;0;0
Bern;0.15726;0;0;0;0;0;0.047319;0;0;0.082033;0.066846;0.46299;0;0;0.053429;0;0.034461;0;0;0;0.0083543;0
Winterthur;0.59443;0;0;0;0;0;0;0.05016;0;0;0;0;0;0.04829;0;0;0;0;0;0;0;0
Luzern;0.23048;0;0;0;0.047319;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0066174;0.014731
St.Gallen;0;0;0;0;0;0.05016;0;0;0;0;0;0;0;0.013015;0;0.012389;0;0;0;0;0;0.0034963
Lugano;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0016485
Biel;0;0;0.050957;0;0.082033;0;0;0;0;0;0;0;0.019394;0;0;0;0.01897;0;0;0;0.0035434;0
Thun;0;0;0;0;0.066846;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Koeniz;0;0;0;0;0.46299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chaux-de-Fonds;0;0;0;0;0;0;0;0;0;0.019394;0;0;0;0;0;0;0.027447;0;0;0;0;0
Schaffhausen;0.11686;0;0;0;0;0.04829;0;0.013015;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Freiburg;0;0;0;0.028114;0.053429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chur;0.042956;0;0;0;0;0;0;0.012389;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Neuenburg;0;0;0;0.02403;0.034461;0;0;0;0;0.01897;0;0;0.027447;0;0;0;0;0;0;0;0;0
Vernier;0;0.52027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Uster;0.28318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sion;0;0;0;0.019587;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Olten;0.029868;0;0.019064;0;0.0083543;0;0.0066174;0;0;0.0035434;0;0;0;0;0;0;0;0;0;0;0;0
Arthgoldau;0.036549;0;0;0;0;0;0.014731;0.0034963;0.0016485;0;0;0;0;0;0;0;0;0;0;0;0;0
